"stop_id","stop_name","stop_lat","stop_lon"
"AS_ACC7_GMP","김포[국제]","37.558060000","126.790560000"
"BS_1100_100000001","종로2가사거리","37.569770000","126.987750000"
"BS_1100_100000002","창경궁.서울대학교병원","37.579180000","126.996570000"
"BS_1100_100000003","명륜3가.성대입구","37.582670000","126.998340000"
"BS_1100_100000004","종로2가.삼일교","37.568580000","126.987610000"
"BS_1100_100000005","혜화동로터리.여운형활동터","37.586240000","127.001740000"
"BS_1100_100000006","경기상고","37.587550000","126.969360000"
"BS_1100_100000007","신교동","37.583300000","126.970260000"
"BS_1100_100000008","경기상고","37.587190000","126.969770000"
"BS_1100_100000009","경복고교","37.585110000","126.971040000"
"BS_1100_100000010","청운중학교","37.587850000","126.972510000"
"BS_1100_100000011","자하문고개.윤동주문학관","37.592190000","126.967130000"
"BS_1100_100000012","자하문고개.윤동주문학관","37.592340000","126.967190000"
"BS_1100_100000013","청운중학교","37.588130000","126.972460000"
"BS_1100_100000014","경복고교","37.584970000","126.971150000"
"BS_1100_100000015","통인시장종로구보건소","37.580330000","126.971050000"
"BS_1100_100000016","통인시장종로구보건소","37.580510000","126.971390000"
"BS_1100_100000017","효자동","37.583090000","126.970620000"
"BS_1100_100000018","사직단.어린이도서관","37.575140000","126.967990000"
"BS_1100_100000019","사직동주민센터","37.576180000","126.971320000"
"BS_1100_100000020","경복궁역","37.576870000","126.972200000"
"BS_1100_100000021","경복궁역","37.577670000","126.972280000"
"BS_1100_100000022","경복궁","37.575580000","126.978750000"
"BS_1100_100000023","KT광화문지사","37.572230000","126.977330000"
"BS_1100_100000025","광화문","37.569850000","126.976380000"
"BS_1100_100000028","서울역사박물관.경교장.강북삼성병원","37.570020000","126.971250000"
"BS_1100_100000029","광화문.금호아시아나본관앞","37.570290000","126.973130000"
"BS_1100_100000030","광화문","37.570370000","126.975840000"
"BS_1100_100000031","세종문화회관","37.573590000","126.976860000"
"BS_1100_100000032","서울경찰청.경복궁역","37.575740000","126.971480000"
"BS_1100_100000033","사직단","37.574860000","126.968190000"
"BS_1100_100000034","광화문.광화문빌딩","37.569690000","126.976690000"
"BS_1100_100000035","덕성여중고","37.575900000","126.982020000"
"BS_1100_100000036","안국역.서울공예박물관","37.576070000","126.984000000"
"BS_1100_100000037","국민은행세검정지점","37.604660000","126.960890000"
"BS_1100_100000038","세검정초등학교","37.602500000","126.961220000"
"BS_1100_100000039","세검정.상명대","37.600730000","126.958720000"
"BS_1100_100000040","상명대입구.석파랑","37.599410000","126.958570000"
"BS_1100_100000041","하림각","37.598130000","126.961710000"
"BS_1100_100000042","자하문터널입구.석파정","37.595590000","126.963640000"
"BS_1100_100000043","부암동주민센터.무계원","37.592740000","126.963960000"
"BS_1100_100000044","부암동주민센터.무계원","37.592790000","126.965140000"
"BS_1100_100000045","자하문터널입구.석파정","37.595560000","126.963980000"
"BS_1100_100000046","하림각","37.598150000","126.962220000"
"BS_1100_100000047","상명대입구.세검정교회","37.599620000","126.959240000"
"BS_1100_100000048","세검정.상명대","37.600550000","126.958930000"
"BS_1100_100000049","세검정초등학교","37.602270000","126.961430000"
"BS_1100_100000051","국민은행세검정지점","37.604720000","126.961210000"
"BS_1100_100000053","승가사입구","37.611580000","126.956310000"
"BS_1100_100000054","구기동현대빌라","37.610040000","126.956460000"
"BS_1100_100000055","구기터널.삼성출판박물관","37.608610000","126.956210000"
"BS_1100_100000056","구기터널.삼성출판박물관","37.608310000","126.956420000"
"BS_1100_100000057","구기동","37.606960000","126.958530000"
"BS_1100_100000058","구기동","37.607010000","126.959100000"
"BS_1100_100000059","승가사입구","37.611480000","126.956480000"
"BS_1100_100000060","갑을씨티텔앞","37.604370000","126.963540000"
"BS_1100_100000061","평창파출소","37.605320000","126.966040000"
"BS_1100_100000062","평창동주민센터","37.606610000","126.969570000"
"BS_1100_100000063","일성아파트","37.608770000","126.973000000"
"BS_1100_100000064","롯데아파트","37.610430000","126.976470000"
"BS_1100_100000065","롯데아파트","37.610250000","126.976650000"
"BS_1100_100000066","벽산평창힐스아파트","37.608190000","126.972800000"
"BS_1100_100000067","예능교회","37.606520000","126.970000000"
"BS_1100_100000068","서울예술고등학교.평창동주민센터","37.605780000","126.967630000"
"BS_1100_100000069","화정박물관","37.604500000","126.964810000"
"BS_1100_100000072","독립문역.서대문형무소역사관","37.573210000","126.959460000"
"BS_1100_100000073","서대문.서울시교육청","37.568250000","126.964530000"
"BS_1100_100000075","독립문","37.571170000","126.961560000"
