"route_id","service_id","trip_id"
"BR_3100_239000140","B1","BR_3100_239000140_Ord014"
"BR_3100_241310001","B1","BR_3100_241310001_Ord102"
"BR_3100_241374005","B1","BR_3100_241374005_Ord175"
"BR_1100_100100352","B1","BR_1100_100100352_Ord027"
"BR_3100_222000098","B1","BR_3100_222000098_Ord017"
"BR_3100_232000092","B1","BR_3100_232000092_Ord070"
"BR_3100_241216003","B1","BR_3100_241216003_Ord031"
"BR_ACC3_11000030-33030040-01_2D","B1","BR_ACC3_11000030-33030040-01_2D_Ord004"
"BR_1100_107900005","B1","BR_1100_107900005_Ord086"
"BR_1100_107900005","B1","BR_1100_107900005_Ord110"
"BR_1100_119900005","B1","BR_1100_119900005_Ord030"
"BR_ACC3_11000012-33520020-01_1U","B1","BR_ACC3_11000012-33520020-01_1U_Ord015"
"BR_3100_222000032","B1","BR_3100_222000032_Ord054"
"BR_3100_228000262","B1","BR_3100_228000262_Ord007"
"BR_3100_228000263","B1","BR_3100_228000263_Ord016"
"BR_3100_232000103","B1","BR_3100_232000103_Ord034"
"AR_ACC7_GMP-CJU_U","B1","AR_ACC7_GMP-CJU_U_Ord078"
"BR_1100_100100012","B1","BR_1100_100100012_Ord090"
"BR_1100_100100032","B1","BR_1100_100100032_Ord130"
"BR_1100_100100085","B1","BR_1100_100100085_Ord059"
"BR_3100_210000024","B1","BR_3100_210000024_Ord144"
"BR_3100_222000098","B1","BR_3100_222000098_Ord005"
"BR_3100_222000098","B1","BR_3100_222000098_Ord012"
"AR_ACC7_GMP-CJU_U","B1","AR_ACC7_GMP-CJU_U_Ord001"
"BR_1100_100100085","B1","BR_1100_100100085_Ord116"
"BR_1100_100100132","B1","BR_1100_100100132_Ord054"
"BR_1100_100100189","B1","BR_1100_100100189_Ord088"
"BR_1100_100100222","B1","BR_1100_100100222_Ord024"
"BR_1100_100100406","B1","BR_1100_100100406_Ord005"
"BR_1100_104900001","B1","BR_1100_104900001_Ord081"
"BR_3100_204000067","B1","BR_3100_204000067_Ord034"
"BR_1100_100100097","B1","BR_1100_100100097_Ord029"
"BR_1100_100100157","B1","BR_1100_100100157_Ord104"
"BR_1100_100100171","B1","BR_1100_100100171_Ord020"
"BR_1100_100100229","B1","BR_1100_100100229_Ord131"
"BR_1100_100100364","B1","BR_1100_100100364_Ord040"
"BR_1100_100100389","B1","BR_1100_100100389_Ord141"
"BR_1100_100100389","B1","BR_1100_100100389_Ord185"
"BR_1100_100100605","B1","BR_1100_100100605_Ord076"
"BR_3100_200000108","B1","BR_3100_200000108_Ord101"
"BR_3100_204000004","B1","BR_3100_204000004_Ord053"
"BR_3100_212000002","B1","BR_3100_212000002_Ord129"
"BR_3100_218000018","B1","BR_3100_218000018_Ord042"
"BR_3100_218000111","B1","BR_3100_218000111_Ord064"
"BR_1100_100100171","B1","BR_1100_100100171_Ord122"
"BR_1100_100100272","B1","BR_1100_100100272_Ord025"
"BR_1100_100100288","B1","BR_1100_100100288_Ord091"
"BR_1100_100100288","B1","BR_1100_100100288_Ord094"
"BR_1100_100100331","B1","BR_1100_100100331_Ord005"
"BR_1100_100100342","B1","BR_1100_100100342_Ord066"
"BR_1100_100100364","B1","BR_1100_100100364_Ord018"
"BR_1100_100100446","B1","BR_1100_100100446_Ord109"
"BR_1100_100100507D","B1","BR_1100_100100507D_Ord021"
"BR_1100_100100511","B1","BR_1100_100100511_Ord002"
"BR_1100_100100576","B1","BR_1100_100100576_Ord058"
"BR_1100_100900011","B1","BR_1100_100900011_Ord058"
"BR_1100_100900011","B1","BR_1100_100900011_Ord064"
"BR_1100_100900011","B1","BR_1100_100900011_Ord078"
"BR_1100_102900004","B1","BR_1100_102900004_Ord088"
"RR_ACC6_0230_U","B1","RR_ACC6_0230_U_Ord011"
"BR_1100_100100049","B1","BR_1100_100100049_Ord109"
"BR_1100_100100073","B1","BR_1100_100100073_Ord022"
"BR_1100_100100073","B1","BR_1100_100100073_Ord066"
"BR_1100_100100073","B1","BR_1100_100100073_Ord090"
"BR_1100_100100171","B1","BR_1100_100100171_Ord110"
"BR_1100_109900004","B1","BR_1100_109900004_Ord036"
"BR_1100_112900002","B1","BR_1100_112900002_Ord034"
"BR_1100_121900003","B1","BR_1100_121900003_Ord004"
"BR_1100_121900003","B1","BR_1100_121900003_Ord058"
"BR_1100_100100295","B1","BR_1100_100100295_Ord061"
"BR_1100_100100364","B1","BR_1100_100100364_Ord006"
"BR_1100_103900007","B1","BR_1100_103900007_Ord012"
"BR_1100_113900015","B1","BR_1100_113900015_Ord140"
"BR_1100_117900005","B1","BR_1100_117900005_Ord075"
"BR_ACC3_11000030-24000010-01_2D","B1","BR_ACC3_11000030-24000010-01_2D_Ord001"
"BR_ACC3_11000030-35010011-01_2D","B1","BR_ACC3_11000030-35010011-01_2D_Ord016"
"BR_1100_100100023","B1","BR_1100_100100023_Ord076"
"BR_1100_100100023","B1","BR_1100_100100023_Ord093"
"BR_1100_100100073","B1","BR_1100_100100073_Ord031"
"BR_3100_233000322","B1","BR_3100_233000322_Ord076"
"BR_3100_236000234","B1","BR_3100_236000234_Ord032"
"BR_3100_241221002","B1","BR_3100_241221002_Ord051"
"BR_TAGO_ICB165000145","B1","BR_TAGO_ICB165000145_Ord043"
